,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,,,Category,Sum
20400,004e820e-49c3-4ba2-9d02-62db0065410c,heart,2021-03-09 8:50:44,audio,tennis,positive,60,,,Animals,74965
15950,00d0cdf9-5919-4102-bf84-ebde253c3cd2,adore,2020-09-25 19:56:00,audio,healthy eating,positive,72,,,cooking,64756
15956,00d0cdf9-5919-4102-bf84-ebde253c3cd2,adore,2020-07-20 8:41:41,audio,healthy eating,positive,72,,,culture,66579
15972,00d0cdf9-5919-4102-bf84-ebde253c3cd2,adore,2021-04-18 19:42:24,audio,healthy eating,positive,72,,,dogs,52511
15989,00d0cdf9-5919-4102-bf84-ebde253c3cd2,adore,2021-01-25 11:29:58,audio,healthy eating,positive,72,,,education,57436
15955,00d0cdf9-5919-4102-bf84-ebde253c3cd2,cherish,2021-04-26 2:53:08,audio,healthy eating,positive,70,,,fitness,55323
15983,00d0cdf9-5919-4102-bf84-ebde253c3cd2,cherish,2020-07-03 6:23:44,audio,healthy eating,positive,70,,,food,66676
15986,00d0cdf9-5919-4102-bf84-ebde253c3cd2,cherish,2021-05-29 12:27:00,audio,healthy eating,positive,70,,,healthy eating,69339
15962,00d0cdf9-5919-4102-bf84-ebde253c3cd2,disgust,2020-08-31 12:37:22,audio,healthy eating,negative,0,,,public speaking,49264
15957,00d0cdf9-5919-4102-bf84-ebde253c3cd2,dislike,2021-06-18 2:00:03,audio,healthy eating,negative,10,,,science,71168
15966,00d0cdf9-5919-4102-bf84-ebde253c3cd2,hate,2021-02-08 7:29:43,audio,healthy eating,negative,5,,,soccer,57783
15967,00d0cdf9-5919-4102-bf84-ebde253c3cd2,hate,2021-01-31 12:46:51,audio,healthy eating,negative,5,,,studying,54269
15985,00d0cdf9-5919-4102-bf84-ebde253c3cd2,hate,2020-06-24 11:46:02,audio,healthy eating,negative,5,,,technology,68738
15979,00d0cdf9-5919-4102-bf84-ebde253c3cd2,heart,2020-06-19 11:21:18,audio,healthy eating,positive,60,,,tennis,50339
15984,00d0cdf9-5919-4102-bf84-ebde253c3cd2,heart,2021-03-02 13:44:20,audio,healthy eating,positive,60,,,travel,64880
15987,00d0cdf9-5919-4102-bf84-ebde253c3cd2,heart,2020-11-05 5:42:53,audio,healthy eating,positive,60,,,veganism,49619
15990,00d0cdf9-5919-4102-bf84-ebde253c3cd2,heart,2020-07-26 15:17:16,audio,healthy eating,positive,60,,,,
15964,00d0cdf9-5919-4102-bf84-ebde253c3cd2,indifferent,2021-04-07 23:00:35,audio,healthy eating,neutral,20,,,,
15988,00d0cdf9-5919-4102-bf84-ebde253c3cd2,indifferent,2020-06-21 10:18:13,audio,healthy eating,neutral,20,,,,
15961,00d0cdf9-5919-4102-bf84-ebde253c3cd2,interested,2020-12-24 9:36:10,audio,healthy eating,positive,30,,,,
15978,00d0cdf9-5919-4102-bf84-ebde253c3cd2,interested,2020-06-23 9:36:11,audio,healthy eating,positive,30,,,,
15991,00d0cdf9-5919-4102-bf84-ebde253c3cd2,interested,2020-07-05 16:46:12,audio,healthy eating,positive,30,,,,
15951,00d0cdf9-5919-4102-bf84-ebde253c3cd2,intrigued,2020-08-16 9:24:50,audio,healthy eating,positive,45,,,,
15971,00d0cdf9-5919-4102-bf84-ebde253c3cd2,intrigued,2020-09-06 12:50:03,audio,healthy eating,positive,45,,,,
15977,00d0cdf9-5919-4102-bf84-ebde253c3cd2,intrigued,2021-05-03 6:09:50,audio,healthy eating,positive,45,,,,
15953,00d0cdf9-5919-4102-bf84-ebde253c3cd2,like,2021-01-15 20:06:38,audio,healthy eating,positive,50,,,,
15993,00d0cdf9-5919-4102-bf84-ebde253c3cd2,like,2021-04-26 12:19:01,audio,healthy eating,positive,50,,,,
15970,00d0cdf9-5919-4102-bf84-ebde253c3cd2,love,2020-12-30 11:02:29,audio,healthy eating,positive,65,,,,
15995,00d0cdf9-5919-4102-bf84-ebde253c3cd2,love,2020-12-18 14:28:25,audio,healthy eating,positive,65,,,,
15960,00d0cdf9-5919-4102-bf84-ebde253c3cd2,peeking,2020-11-01 13:29:11,audio,healthy eating,neutral,35,,,,
15974,00d0cdf9-5919-4102-bf84-ebde253c3cd2,peeking,2021-03-31 17:20:08,audio,healthy eating,neutral,35,,,,
15954,00d0cdf9-5919-4102-bf84-ebde253c3cd2,scared,2021-05-09 17:16:40,audio,healthy eating,negative,15,,,,
15975,00d0cdf9-5919-4102-bf84-ebde253c3cd2,scared,2020-11-02 5:15:58,audio,healthy eating,negative,15,,,,
15976,00d0cdf9-5919-4102-bf84-ebde253c3cd2,scared,2021-04-16 20:09:15,audio,healthy eating,negative,15,,,,
15959,00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,2020-08-22 21:49:40,audio,healthy eating,positive,75,,,,
15965,00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,2021-04-17 4:00:02,audio,healthy eating,positive,75,,,,
15973,00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,2020-07-04 2:42:19,audio,healthy eating,positive,75,,,,
15980,00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,2020-09-24 9:06:44,audio,healthy eating,positive,75,,,,
15963,00d0cdf9-5919-4102-bf84-ebde253c3cd2,want,2020-10-17 11:05:33,audio,healthy eating,positive,70,,,,
15969,00d0cdf9-5919-4102-bf84-ebde253c3cd2,want,2020-10-03 1:59:31,audio,healthy eating,positive,70,,,,
